年月日等,件名,備考
（平成25年6月3日）（平成26年3月17日付改正分まで更新）,"
平成25年分の類似業種比準価額計算上の業種目及び業種目別株価等について（法令解釈通達） ","
一部改正通達
			（平成26年3月17日付通達〔12月分〕まで掲載）		"
（平成25年5月16日）（平成26年1月6日付改正分まで更新）,平成25年分の基準年利率について（法令解釈通達）,"
一部改正通達
			（平成26年1月6日付通達〔12月分〕まで掲載）		"
（平成24年6月21日）,"
平成24年中に相続等により取得した原子力発電所周辺の避難指示区域内に存する土地等の評価について（法令解釈通達） ", 
（平成24年6月12日）（平成25年1月11日付改正分まで更新）,"
平成24年分の類似業種比準価額計算上の業種目及び業種目別株価等について（法令解釈通達） ","
一部改正通達
			（平成25年1月11日付通達〔12月分〕まで掲載）		"
（平成24年5月22日）（平成25年1月4日付改正分まで更新）,平成24年分の基準年利率について（法令解釈通達）,"
一部改正通達
			（平成25年1月4日付通達〔12月分〕まで掲載）		"
（平成23年10月13日）,"
震災特例法の適用を受ける特定土地等で原子力発電所周辺の警戒区域内等に存する土地等の評価について（法令解釈通達） ", 
（平成23年10月13日）（平成24年6月20日付改正分まで更新）,"
東日本大震災の発生日以後に相続等により取得した財産の評価について（法令解釈通達） ","
一部改正通達
			（平成24年6月20日付通達まで掲載）		"
（平成23年10月13日）,"
東日本大震災の被災者等に係る国税関係法律の臨時特例に関する法律に規定する特定土地等及び特定株式等の評価について（法令解釈通達） ", 
（平成23年6月6日）（平成24年1月11日付改正分まで更新）,"
平成23年分の類似業種比準価額計算上の業種目及び業種目別株価等について（法令解釈通達） ","
一部改正通達
			（平成24年1月11日付通達〔12月分〕まで掲載）		"
（平成23年5月20日）（平成24年1月11日付改正分まで更新）,平成23年分の基準年利率について（法令解釈通達）,"
一部改正通達
			（平成24年1月11日付通達〔12月分〕まで掲載）		"
（平成22年6月9日）（平成23年1月7日付改正分まで更新）,"
平成22年分の類似業種比準価額計算上の業種目及び業種目別株価等について（法令解釈通達） ","
一部改正通達
			（平成23年1月7日付通達〔12月分〕まで掲載）		"
（平成22年5月14日）（平成23年1月7日付改正分まで更新）,平成22年分の基準年利率について（法令解釈通達）,"
一部改正通達
			（平成23年1月7日付通達〔12月分〕まで掲載）		"
（平成21年6月8日）（平成22年1月8日付改正分まで更新）,"
平成21年分の類似業種比準価額計算上の業種目及び業種目別株価等について（法令解釈通達） ","
一部改正通達
			（平成22年1月8日付通達〔12月分〕まで掲載）		"
（平成21年5月13日）（平成22年1月8日付改正分まで更新）,平成21年分の基準年利率について（法令解釈通達）,"
一部改正通達
			（平成22年1月8日付通達〔12月分〕まで掲載）		"
（平成20年6月6日）（平成21年1月9日付改正分まで更新）,"
平成20年分の類似業種比準価額計算上の業種目及び業種目別株価等について（法令解釈通達） ","
一部改正通達
			（平成21年1月9日付通達〔12月分〕まで掲載）		"
（平成20年5月13日）（平成21年1月9日付改正分まで更新）,平成20年分の基準年利率について（法令解釈通達）,"
一部改正通達
			（平成21年1月9日付通達〔12月分〕まで掲載）		"
（平成19年6月5日）（平成20年1月11日付改正分まで更新）,"
平成19年分の類似業種比準価額計算上の業種目及び業種目別株価等について（法令解釈通達） ","
一部改正通達
			（平成20年1月11日付通達〔12月分〕まで掲載）		"
（平成19年5月17日）（平成20年1月11日付改正分まで更新）,平成19年分の基準年利率について（法令解釈通達）,"
一部改正通達
			（平成20年1月11日付通達〔12月分〕まで掲載）		"
（平成18年6月9日）（平成19年1月11日付改正分まで更新）,"
平成18年分の類似業種比準価額計算上の業種目及び業種目別株価等について（法令解釈通達） ","
一部改正通達
			（平成19年1月11日付通達〔12月分〕まで掲載）		"
（平成18年5月18日）（平成19年1月11日付改正分まで更新）,平成18年分の基準年利率について（法令解釈通達）,"
一部改正通達
			（平成19年1月11日付通達〔12月分〕まで掲載）		"
（平成17年6月9日）（平成18年1月13日付改正分まで更新）,"
平成17年分の類似業種比準価額計算上の業種目及び業種目別株価等について（法令解釈通達） ","
一部改正通達
			（平成18年1月13日付通達〔12月分〕まで掲載）		"
（平成17年5月17日）（平成18年1月13日付改正分まで更新）,平成17年分の基準年利率について（法令解釈通達）,"
一部改正通達
			（平成18年1月13日付通達〔12月分〕まで掲載）		"
